Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Federation,Date,MeetCountry,MeetName
Sari Noviana,F,SBD,Single-ply,30.5,24-34,Open,60.5,63,200,210,225,225,120,-130,130,130,200,215,-220,215,570,3,631.42,631.42,557.83,746.54,Yes,IPF,11/9/2015,Luxembourg,World Powerlifting Championships
Vilma Ochoa Vargas,F,SBD,Single-ply,37.5,35-39,Open,51.85,52,200,210,-218.5,210,100,107.5,110,110,165,175,180,180,500,2,624.71,624.71,553.81,716.62,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Lidiia Zaiats,F,SBD,Single-ply,21.5,20-23,Open,62.65,63,200,212.5,220,220,127.5,135,140,140,180,190,192.5,192.5,552.5,5,595.87,601.83,526.2,715.77,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Gundula Fiona Sommer von Bachhaus,F,SBD,Single-ply,27,24-34,Open,62,67.5,205,-210,215,215,150,-157.5,157.5,157.5,200,-210,210,210,582.5,1,633.24,633.24,559.27,752.38,Yes,BVDK,2/21/2009,Germany,DM KDK Aktive
Larysa Vitsievska,F,SBD,Single-ply,26.5,24-34,Open,66.6,67.5,205,212.5,217.5,217.5,140,150,-160.5,150,220,230,-240.5,230,597.5,1,615.76,615.76,543.31,745.54,Yes,EPF,11/24/2005,Hungary,Women's European Powerlifting Championships
Antonietta Orsini,F,SBD,Single-ply,46.5,45-49,Open,62.59,63,205,215,-220,215,-130,135,140,140,195,200,-205,200,555,4,599.01,639.74,528.98,718.83,Yes,IPF,11/8/2011,Czechia,World Powerlifting Championships
Noviana Sari,F,SBD,Single-ply,27.5,24-34,Open,60.4,63,210,220,-230,220,125,132.5,142.5,142.5,215,225,-230,225,587.5,2,651.64,651.64,575.71,766.82,Yes,IPF,11/10/2012,Puerto Rico,World Powerlifting Championships
Eleonora Mahpirova,F,SBD,Single-ply,20.5,20-23,Juniors,59.4,60,210,222.5,225,225,110,-117.5,-117.5,110,195,-202.5,-205,195,530,2,595.52,607.43,526.24,707.21,Yes,IPF,9/3/2007,France,World Sub-Juniors & Juniors Powerlifting Championships
Ankie Timmers,F,SBD,Single-ply,30.5,24-34,Open,71.33,72,211,217.5,222.5,222.5,155,161,162.5,162.5,205,215.5,223.5,223.5,608.5,1,597.65,597.65,526.57,735.95,Yes,EPF,9/14/2017,Luxembourg,Western European Championships
Tetyana Akhmamyetyeva,F,SBD,Single-ply,25.5,24-34,Open,62.61,63,215,225,230,230,135,140,145,145,190,200,207.5,207.5,582.5,2,628.53,628.53,555.05,749.14,Yes,IPF,11/8/2011,Czechia,World Powerlifting Championships
